,COUNTRY,POP,AREA,GDP,CONT,IND_DAY
CHN,China,1398.72,9596.96,12234.78,Asia,
IND,India,1351.16,3287.26,2575.67,N.America,"September 16, 1870"
USA,US,329.74,9596.96,12234.78,Asia,
IDN,Indonesia,268.07,9596.96,12234.78,Asia,"May 18, 1823"
BRA,Brasil,20.32,9596.96,12234.78,Europa,
PAK,Pakistan,205.71,9596.96,12234.78,Asia,
NGA,Nigeria,200.96,9596.96,12234.78,Asia,
BGD,Bangladesh,167.09,9596.96,12234.78,Asia,
RUS,Rusia,146.79,9596.96,12234.78,Asia,
MEX,Mexico,126.58,1964.38,1158.23,N.America,"September 16, 1810"
JPN,Japon,398.72,9596.96,12234.78,N.America,"June 26, 1889"
DEU,Germania,298.72,9596.96,12234.78,Asia,"April 06, 1933"
FRA,Francia,298.62,9596.96,12234.78,Asia,"May 22, 1834"
GBR,UK,258.72,9596.96,12234.78,Asia,"July 30, 1860"
ITA,Italia,198.72,9596.96,12234.78,N.America,
ARG,Argentina,183.72,9596.96,12234.78,Asia,
DZA,Algeria,98.72,9596.96,12234.78,Asia,
CAN,Canada,78.72,9596.96,12234.78,Europa,"June 02, 1870"
AUS,Australia,68.72,9596.96,12234.78,Asia,"May 19, 1910"
KAZ,China,38.72,9596.96,12234.78,Europa,"August 10, 1815"
